"","title","abstract","year","journal","Annotation"
"22","IQ, Expectations, and Choice","We use administrative and survey-based micro data to study the relationship between cognitive abilities (IQ), the formation of inflation expectations, and the consumption plans of a representative male population. High-IQ men display 50 lower forecast errors for inflation than other men. High-IQ men, but not others, have consistent inflation expectations and perceptions over time. In terms of choice, only high-IQ men increase their consumption propensity when expecting higher inflation as the consumer Euler equation prescribes. Education levels, income, other expectations, and socio-economic status, although important, do not explain the variation in expectations and choice by IQ. Recent modelling attempts to incorporate boundedly rational agents into macro models do not fully capture all the facts we document. We discuss which dimensions of expectations formation and choice are important for heterogeneous-agents models of household consumption and for the transmission of fiscal and monetary policy.",2023,"RES","Woman"
"23","Learning from Neighbours about a Changing State","Agents learn about a changing state using private signals and their neighbours’ past estimates of the state. We present a model in which Bayesian agents in equilibrium use neighbours’ estimates simply by taking weighted sums with time-invariant weights. The dynamics thus parallel those of the tractable DeGroot model of learning in networks, but arise as an equilibrium outcome rather than a behavioural assumption. We examine whether information aggregation is nearly optimal as neighbourhoods grow large. A key condition for this is signal diversity: each individual’s neighbours have private signals that not only contain independent information, but also have sufficiently different distributions. Without signal diversity—e.g. if private signals are i.i.d.—learning is suboptimal in all networks and highly inefficient in some. Turning to social influence, we find it is much more sensitive to one’s signal quality than to one’s number of neighbours, in contrast to standard models with exogenous updating rules.",2023,"RES","No Woman"
"24","Optimal Feedback in Contests","We obtain optimal dynamic contests for environments where the designer monitors effort through coarse, binary signals—Poisson successes—and aims to elicit maximum effort, ideally in the least amount of time possible, given a fixed prize. The designer has a vast set of contests to choose from, featuring termination and prize-allocation rules together with real-time feedback for the contestants. Every effort-maximizing contest (which also maximizes total expected successes) has a history-dependent termination rule, a feedback policy that keeps agents fully apprised of their own success, and a prize-allocation rule that grants them, in expectation, a time-invariant share of the prize if they succeed. Any contest that achieves this effort in the shortest possible time must in addition be what we call second chance: once a pre-specified number of successes arrive, the contest enters a countdown phase where contestants are given one last chance to succeed.",2023,"RES","No Woman"
"25","Liquidity and Exchange Rates: An Empirical Investigation","We find strong empirical evidence that the liquidity yield on government bonds in combination with standard economic fundamentals can well account for nominal exchange rate movements. We find impressive evidence that changes in the liquidity yield are significant in explaining exchange rate changes for all the G10 countries, and we stress that the US dollar is not special in this relationship. We show how these relationships arise out of a canonical two-country New Keynesian model with liquidity returns. Additionally, we find a role for sovereign default risk and currency swap market frictions.",2023,"RES","No Woman"
"26","Unemployment Insurance in Macroeconomic Stabilization","I study unemployment insurance (UI) in general equilibrium with incomplete markets, search frictions, and nominal rigidities. An increase in generosity raises the aggregate demand for consumption if the unemployed have a higher marginal propensity to consume than the employed or if agents precautionary save in light of future income risk. This raises output and employment unless monetary policy raises the nominal interest rate. In an analysis of the U.S. economy over 2008–2014, UI benefit extensions had a contemporaneous output multiplier around 1. The unemployment rate would have been as much as 0.4 pp higher absent these extensions.",2023,"RES","No Woman"
"27","A Welfare Analysis of Occupational Licensing in U.S. States","We assess the welfare consequences of occupational licensing for workers and consumers. We estimate a model of labour market equilibrium in which licensing restricts labour supply but also affects labour demand via worker quality and selection. On the margin of occupations licensed differently between U.S. states, we find that licensing raises wages and hours but reduces employment. We estimate an average welfare loss of 12% of occupational surplus. Workers and consumers respectively bear 70% and 30% of the incidence. Higher willingness to pay offsets 80% of higher prices for consumers, and higher wages compensate workers for 60% of the cost of mandated investment in occupation-specific human capital. Welfare effects appear more favourable in occupations in which licensing is more common.",2023,"RES","No Woman"
"28","A Network Solution to Robust Implementation: The Case of Identical but Unknown Distributions","We study robust mechanism design in environments in which agents commonly believe that others’ types are identically distributed, but we do not assume that the actual distribution is common knowledge, nor that it is known to the designer. First, we characterize all incentive compatible transfers under these assumptions. Second, we characterize the conditions under which full implementation is possible via direct mechanisms, that only elicit payoff relevant information, and the transfer schemes which achieve it whenever possible. The full implementation results obtain from showing that the problem can be transformed into one of designing a network of strategic externalities, subject to suitable constraints which are dictated by the incentive compatibility requirements.",2023,"RES","Woman"
"29","A More Credible Approach to Parallel Trends","This paper proposes tools for robust inference in difference-in-differences and event-study designs where the parallel trends assumption may be violated. Instead of requiring that parallel trends holds exactly, we impose restrictions on how different the post-treatment violations of parallel trends can be from the pre-treatment differences in trends (“pre-trends”). The causal parameter of interest is partially identified under these restrictions. We introduce two approaches that guarantee uniformly valid inference under the imposed restrictions, and we derive novel results showing that they have desirable power properties in our context. We illustrate how economic knowledge can inform the restrictions on the possible violations of parallel trends in two economic applications. We also highlight how our approach can be used to conduct sensitivity analyses showing what causal conclusions can be drawn under various restrictions on the possible violations of the parallel trends assumption.",2023,"RES","No Woman"
"30","Testing the Production Approach to Markup Estimation","Under the production approach to markup estimation, any flexible input should recover the markup. I test this implication using manufacturing datasets from Chile, Colombia, India, Indonesia, the U.S., and Southern Europe, as well as store-level data from a major U.S. retailer, and overwhelmingly reject that markups estimated using labour and materials have the same distribution. For every dataset, markups estimated using labour are negatively correlated with markups estimated using materials, exhibit greater dispersion, and have opposite time trends. I continue to find stark differences in markups estimated using energy and non-energy raw materials. Non-neutral productivity differences across firms can explain these findings.",2023,"RES","No Woman"
"31","More Than a Penny’s Worth: Left-Digit Bias and Firm Pricing","Firms arguably price at ninety-nine-ending prices because of left-digit bias—the tendency of consumers to perceive a $4.99 as much lower than a $5.00. Analysis of retail scanner data on 3500 products sold by twenty-five U.S. chains provides robust support for this explanation. I structurally estimate the magnitude of left-digit bias and find that consumers respond to a one-cent increase from a ninety-nine-ending price as if it were more than a twenty-cent increase. Next, I solve a portable model of optimal pricing given left-digit biased demand. I use this model and other pricing procedures to estimate the level of left-digit bias retailers perceive when making their pricing decisions. While all retailers respond to left-digit bias by using ninety-nine-ending prices, their behaviour is consistently at odds with the demand they face. Firms price as if the bias were much smaller than it is, and their pricing is more consistent with heuristics and rule-of-thumb than with optimization given the structure of demand. I calculate that retailers forgo 1–4% of potential gross profits due to this coarse response to left-digit bias.",2023,"RES","No Woman"
"32","Stratification Trees for Adaptive Randomisation in Randomised Controlled Trials","This paper proposes an adaptive randomisation procedure for two-stage randomised controlled trials. The method uses data from a first-wave experiment in order to determine how to stratify in a second wave of the experiment, where the objective is to minimise the variance of an estimator for the average treatment effect. We consider selection from a class of stratified randomisation procedures which we call stratification trees: these are procedures whose strata can be represented as decision trees, with differing treatment assignment probabilities across strata. By using the first wave to estimate a stratification tree, we simultaneously select which covariates to use for stratification, how to stratify over these covariates, and the assignment probabilities within these strata. Our main result shows that using this randomisation procedure with an appropriate estimator results in an asymptotic variance which is minimal in the class of stratification trees. Moreover, our results are able to accommodate a large class of assignment mechanisms within strata, including stratified block randomisation. In a simulation study, we find that our method, paired with an appropriate cross-validation procedure, can improve on ad-hoc choices of stratification. We conclude by applying our method to the study in Karlan and Wood (2017, Journal of Behavioral and Experimental Economics, vol. 66, 1–8), where we estimate stratification trees using the first wave of their experiment.",2023,"RES","No Woman"
"33","Managerial Quality and Productivity Dynamics","Do productivity and managerial quality vary within the firm? If so which managerial traits and practices matter most for team productivity? Combining granular garment production data with survey data on managers across 120 production lines in India, we document substantial productivity dispersion both across teams producing overlapping products and within team over the course of production runs, and structurally link this variation to a comprehensive assessment of supervisor quality. We find that factors related to managerial attention and control are the most important for enabling line productivity, both more impactful than traditionally emphasized dimensions like cognitive skills and tenure. We document that one mechanism by which specific managerial practices contribute to productivity is by way of enabling faster learning-by-doing. In-sample pay patterns suggest potential net gains from screening for or training in less readily measured dimensions of managerial quality, as pass-through of productivity contributions to pay is incomplete.",2023,"RES","No Woman"
"34","Optimal Environmental Targeting in the Amazon Rainforest","This article sets out a data-driven approach for targeting environmental policies optimally in order to combat deforestation. We focus on the Amazon, the world’s most extensive rainforest, where Brazil’s federal government issued a “Priority List” of municipalities in 2008—a blacklist to be targeted with more intense environmental monitoring and enforcement. First, we estimate the causal impact of the Priority List on deforestation (along with other relevant treatment effects) using “changes-in-changes” due to Athey and Imbens (2006), finding that it reduced deforestation by 43$\%$ and cut emissions by almost 50 million tons of carbon. Second, we develop a novel framework for computing targeted optimal blacklists that draws on our treatment effect estimates, assigning municipalities to a counterfactual list that minimizes total deforestation subject to realistic resource constraints. We show that the ex post optimal list would result in carbon emissions over 10$\%$ lower than the actual list, amounting to savings of more than $ \$ $1.2 billion (34$\%$ of the total value of the Priority List), with emissions over 23$\%$ lower on average than a randomly selected list. The approach we propose is relevant both for assessing targeted counterfactual policies to reduce deforestation and for quantifying the impacts of policy targeting more generally.",2023,"RES","No Woman"
"35","Wealth Dynamics in Communities","This article develops a model to explore how favour exchange influences wealth dynamics. We identify a key obstacle to wealth accumulation: wealth crowds out favour exchange. Therefore, households must choose between growing their wealth and accessing favour exchange. We show that low-wealth households rely on favour exchange at the cost of having tightly limited long-term wealth. As a result, initial wealth disparities persist and can even grow worse. We then explore how communities and policymakers can overcome this obstacle. Using simulations, we show that community benefits and place-based policies can stimulate both saving and favour exchange, and in some cases, can even transform favour exchange into a force that accelerates wealth accumulation.",2023,"RES","Woman"
"36","Culture and the Historical Fertility Transition","The historical transition to a low fertility regime was central for long-run growth, but what caused it? Existing economic explanations largely focus on the economic incentives to limit fertility. This article presents new evidence highlighting the importance of cultural forces as a complementary driver of the fertility transition. We leverage a sharp change in fertility in Britain in 1877 and document large synchronized declines in fertility among culturally British households residing outside of Britain, in Canada, the US, and South Africa, relative to their non-British neighbours. We propose a plausible catalyst for the change: the famous Bradlaugh–Besant trial of 1877.",2023,"RES","No Woman"
"37","Data-intensive Innovation and the State: Evidence from AI Firms in China","Developing artificial intelligence (AI) technology requires data. In many domains, government data far exceed in magnitude and scope data collected by the private sector, and AI firms often gain access to such data when providing services to the state. We argue that such access can stimulate commercial AI innovation in part because data and trained algorithms are shareable across government and commercial uses. We gather comprehensive information on firms and public security procurement contracts in China’s facial recognition AI industry. We quantify the data accessible through contracts by measuring public security agencies’ capacity to collect surveillance video. Using a triple-differences strategy, we find that data-rich contracts, compared to data-scarce ones, lead recipient firms to develop significantly and substantially more commercial AI software. Our analysis suggests a contribution of government data to the rise of China’s facial recognition AI firms, and that states’ data collection and provision policies could shape AI innovation.",2023,"RES","No Woman"
"38","An Instrumental Variable Approach to Dynamic Models","We present a new class of methods for identification and inference in dynamic models with serially correlated unobservables, which typically imply that state variables are econometrically endogenous. In the context of Industrial Organization, these state variables often reflect econometrically endogenous market structure. We propose the use of Generalized Instrument Variables methods to identify those dynamic policy functions that are consistent with instrumental variable (IV) restrictions. Extending popular “two-step” methods, these policy functions then identify a set of structural parameters that are consistent with the dynamic model, the IV restrictions and the data. We provide computed illustrations to both single-agent and oligopoly examples. We also present a simple empirical analysis that, among other things, supports the counterfactual study of an environmental policy entailing an increase in sunk costs.",2023,"RES","No Woman"
"39","Time Consistency and Duration of Government Debt: A Model of Quantitative Easing","This article presents a model of quantitative easing (QE) at the zero lower bound (ZLB) on the short-term nominal interest rate. QE, which reduces the maturity of government debt, is effective at the ZLB because it generates expectations of future monetary expansion in a time-consistent equilibrium. Numerical experiments show that this effect can be substantial.",2023,"RES","Woman"
"40","Career Spillovers in Internal Labour Markets","This article studies career spillovers across workers, which arise in firms with limited promotion opportunities. We exploit a 2011 Italian pension reform that unexpectedly tightened eligibility criteria for the public pension, leading to sudden, substantial, and heterogeneous retirement delays. Using administrative data on Italian private-sector workers, the analysis leverages cross-firm variation to isolate the effect of retirement delays among soon-to-retire workers on the wage growth and promotions of their colleagues. We find evidence of spillover patterns consistent with older workers blocking the careers of their younger colleagues, but only in firms with limited promotion opportunities.",2023,"RES","No Woman"
"41","Opinions as Facts","The rise of opinion programs has transformed television news. Because they present anchors’ subjective commentary and analysis, opinion programs often convey conflicting narratives about reality. We experimentally document that people across the ideological spectrum turn to opinion programs over “straight news”, even when provided large incentives to learn objective facts. We then examine the consequences of diverging narratives between opinion programs in a high-stakes setting: the early stages of the COVID-19 pandemic in the US. We find stark differences in the adoption of preventative behaviours among viewers of the two most popular opinion programs, both on the same network, which adopted opposing narratives about the threat posed by the COVID-19 pandemic. We then show that areas with greater relative viewership of the program downplaying the threat experienced a greater number of COVID-19 cases and deaths. Our evidence suggests that opinion programs may distort important beliefs and behaviours.",2023,"RES","No Woman"
"42","Agenda-Manipulation in Ranking","We study the susceptibility of committee governance (e.g. by boards of directors), modelled as the collective determination of a ranking of a set of alternatives, to manipulation of the order in which pairs of alternatives are voted on—agenda-manipulation. We exhibit an agenda strategy called insertion sort that allows a self-interested committee chair with no knowledge of how votes will be cast to do as well as if she had complete knowledge. Strategies with this “regret-freeness” property are characterized by their efficiency, and by their avoidance of two intuitive errors. What distinguishes regret-free strategies from each other is how they prioritize among alternatives; insertion sort prioritizes lexicographically.",2023,"RES","No Woman"
"43","Optimal Corporate Taxation Under Financial Frictions","This article studies the optimal design of corporate taxes when firms have private information about future investment opportunities and face financial constraints. A government whose goal is to efficiently raise a given amount of revenue from its corporate sector should attempt to tax unconstrained firms, which value resources inside the firm less than financially constrained firms. We show that a corporate payout tax (a tax on dividends and share repurchases) can both separate constrained and unconstrained firms and raise revenue and is therefore optimal. Our quantitative analysis implies that a revenue-neutral switch from profit taxation to payout taxation would increase the overall value of existing firms and new entrants by $7\%$. This switch could be implemented in the current US tax system by making retained earnings fully deductible.",2023,"RES","No Woman"
"44","Moral Universalism and the Structure of Ideology","Throughout the Western world, people’s policy views are correlated across domains in a strikingly similar fashion. This article proposes that what partly explains the structure of ideology is moral universalism: the extent to which people exhibit the same level of altruism and trust towards strangers as towards in-group members. In new large-scale multinational surveys, heterogeneity in universalism descriptively explains why some people support redistribution, health care, environmental protection, affirmative action, and foreign aid, while others advocate for spending on the military, law enforcement, and border protection. Universalism is a substantially stronger predictor of policy views and ideological constraints than variables such as income, wealth, education, religiosity, or beliefs about government efficiency. Consistent with the idea that universalism shapes policy views, we further document that the left–right divide on redistribution, environmental protection, or foreign aid strongly attenuates or even reverses when people evaluate less universalist implementations of these policies.",2023,"RES","No Woman"
